scientificName,eBird_Species_Code,eBird_common_name
Anas bahamensis,whcpin,White-cheeked Pintail
Anas erythrorhyncha,rebduc1,Red-billed Duck
Anas acuta,norpin,Northern Pintail
Anas eatoni,eatpin1,Eaton's Pintail
Anas georgica,yebpin1,Yellow-billed Pintail
Anas crecca,gnwtea,Green-winged Teal
Anas andium,spetea3,Andean Teal
Anas flavirostris,yebtea1,Yellow-billed Teal
Anas theodori,mauduc1,Mauritius Duck
Anas albogularis,andtea1,Andaman Teal
Anas gibberifrons,suntea1,Sunda Teal
Anas gracilis,gretea1,Gray Teal
Anas castanea,chetea1,Chestnut Teal
Anas bernieri,bertea1,Bernier's Teal
Anas aucklandica,auitea1,Auckland Islands Teal
Anas nesiotis,caitea1,Campbell Islands Teal
Anas chlorotis,brotea1,Brown Teal
Malacorhynchus membranaceus,pieduc1,Pink-eared Duck
Marmaronetta angustirostris,martea1,Marbled Teal
Rhodonessa caryophyllacea,pihduc1,Pink-headed Duck
Asarcornis scutulata,whwduc1,White-winged Duck
Netta rufina,recpoc,Red-crested Pochard
Netta erythrophthalma,soupoc1,Southern Pochard
Netta peposaca,robpoc1,Rosy-billed Pochard
Aythya valisineria,canvas,Canvasback
Aythya americana,redhea,Redhead
Aythya ferina,compoc,Common Pochard
Aythya collaris,rinduc,Ring-necked Duck
Aythya nyroca,ferduc,Ferruginous Duck
Aythya innotata,madpoc1,Madagascar Pochard
Aythya baeri,baepoc1,Baer's Pochard
Aythya australis,wheduc1,Hardhead
Aythya fuligula,tufduc,Tufted Duck
Aythya novaeseelandiae,nezsca1,New Zealand Scaup
Aythya marila,gresca,Greater Scaup
Aythya affinis,lessca,Lesser Scaup
Polysticta stelleri,steeid,Steller's Eider
Camptorhynchus labradorius,labduc,Labrador Duck
Somateria fischeri,speeid,Spectacled Eider
Somateria spectabilis,kineid,King Eider
Somateria mollissima,comeid,Common Eider
Histrionicus histrionicus,harduc,Harlequin Duck
Melanitta perspicillata,sursco,Surf Scoter
Melanitta fusca,whwsco3,Velvet Scoter
Melanitta deglandi,whwsco2,White-winged Scoter
Melanitta stejnegeri,whwsco1,Stejneger's Scoter
Melanitta nigra,blksco1,Common Scoter
Melanitta americana,blksco2,Black Scoter
Clangula hyemalis,lotduc,Long-tailed Duck
Bucephala albeola,buffle,Bufflehead
Bucephala clangula,comgol,Common Goldeneye
Bucephala islandica,bargol,Barrow's Goldeneye
Mergellus albellus,smew,Smew
Lophodytes cucullatus,hoomer,Hooded Merganser
Mergus australis,auimer1,Auckland Islands Merganser
Mergus merganser,commer,Common Merganser
Mergus octosetaceus,bramer1,Brazilian Merganser
Mergus serrator,rebmer,Red-breasted Merganser
Mergus squamatus,scsmer1,Scaly-sided Merganser
Heteronetta atricapilla,blhduc1,Black-headed Duck
Nomonyx dominicus,masduc,Masked Duck
Oxyura jamaicensis,rudduc,Ruddy Duck
Oxyura ferruginea,andduc1,Andean Duck
Oxyura leucocephala,whhduc1,White-headed Duck
Oxyura maccoa,macduc1,Maccoa Duck
Oxyura vittata,lakduc1,Lake Duck
Oxyura australis,blbduc1,Blue-billed Duck
Biziura lobata,musduc1,Musk Duck
Alectura lathami,ausbrt1,Australian Brushturkey
Aepypodius arfakianus,watbrt1,Wattled Brushturkey
Aepypodius bruijnii,brubrt1,Waigeo Brushturkey
Talegalla cuvieri,rebbrt1,Red-billed Brushturkey
Talegalla fuscirostris,bkbbrt1,Yellow-legged Brushturkey
Talegalla jobiensis,bncbrt1,Red-legged Brushturkey
Leipoa ocellata,mallee1,Malleefowl
Macrocephalon maleo,maleo1,Maleo
Eulipoa wallacei,molscr1,Moluccan Megapode
Megapodius pritchardii,niuscr1,Tongan Megapode
Megapodius laperouse,micscr1,Micronesian Megapode
Megapodius nicobariensis,nicscr1,Nicobar Megapode
Megapodius cumingii,tabscr1,Philippine Megapode
Megapodius bernsteinii,sulscr1,Sula Megapode
Megapodius tenimberensis,tanscr1,Tanimbar Megapode
Megapodius freycinet,dusscr1,Dusky Megapode
Megapodius geelvinkianus,dusscr3,Biak Megapode
Megapodius eremita,melscr1,Melanesian Megapode
Megapodius layardi,vanscr1,Vanuatu Megapode
Megapodius decollatus,negscr1,New Guinea Megapode
Megapodius reinwardt,orfscr1,Orange-footed Megapode
Ortalis vetula,placha,Plain Chachalaca
Ortalis cinereiceps,grhcha1,Gray-headed Chachalaca
Ortalis garrula,chwcha1,Chestnut-winged Chachalaca
Ortalis ruficauda,ruvcha1,Rufous-vented Chachalaca
Ortalis erythroptera,ruhcha1,Rufous-headed Chachalaca
Ortalis wagleri,rubcha1,Rufous-bellied Chachalaca
Ortalis poliocephala,wemcha1,West Mexican Chachalaca
Ortalis canicollis,chacha1,Chaco Chachalaca
Ortalis leucogastra,whbcha1,White-bellied Chachalaca
Ortalis columbiana,colcha1,Colombian Chachalaca
Ortalis guttata,specha3,Speckled Chachalaca
Ortalis araucuan,specha2,East Brazilian Chachalaca
Ortalis squamata,specha4,Scaled Chachalaca
Ortalis motmot,varcha1,Variable Chachalaca
Ortalis ruficeps,varcha3,Chestnut-headed Chachalaca
Ortalis superciliaris,bubcha1,Buff-browed Chachalaca
Penelope argyrotis,batgua1,Band-tailed Guan
Penelope barbata,beagua1,Bearded Guan
Penelope ortoni,baugua1,Baudo Guan
Penelope montagnii,andgua1,Andean Guan
Penelope marail,margua1,Marail Guan
Penelope superciliaris,rumgua1,Rusty-margined Guan
Penelope dabbenei,refgua1,Red-faced Guan
Penelope jacquacu,spigua1,Spix's Guan
Penelope purpurascens,cregua1,Crested Guan
Penelope perspicax,caugua1,Cauca Guan
Penelope albipennis,whwgua1,White-winged Guan
Penelope obscura,dulgua1,Dusky-legged Guan
Penelope bridgesi,dulgua3,Yungas Guan
Penelope pileata,whcgua1,White-crested Guan
Penelope ochrogaster,chbgua1,Chestnut-bellied Guan
Penelope jacucaca,whbgua1,White-browed Guan
Pipile pipile,trpgua1,Trinidad Piping-Guan
Pipile cumanensis,butpig1,Blue-throated Piping-Guan
Pipile grayi,butpig2,White-throated Piping-Guan
Pipile cujubi,rtpgua1,Red-throated Piping-Guan
Pipile jacutinga,bfpgua1,Black-fronted Piping-Guan
Aburria aburri,watgua1,Wattled Guan
Chamaepetes unicolor,blagua1,Black Guan
Chamaepetes goudotii,siwgua1,Sickle-winged Guan
Penelopina nigra,higgua1,Highland Guan
Oreophasis derbianus,horgua1,Horned Guan
Nothocrax urumutum,noccur1,Nocturnal Curassow
Mitu tomentosum,crecur2,Crestless Curassow
Mitu salvini,salcur1,Salvin's Curassow
Mitu tuberosum,rabcur2,Razor-billed Curassow
Mitu mitu,alacur1,Alagoas Curassow
Pauxi pauxi,helcur1,Helmeted Curassow
Pauxi koepckeae,horcur2,Sira Curassow
Pauxi unicornis,horcur3,Horned Curassow
Crax rubra,grecur1,Great Curassow
Crax alberti,bubcur1,Blue-billed Curassow
Crax daubentoni,yekcur1,Yellow-knobbed Curassow
Crax alector,blacur1,Black Curassow
Crax globulosa,watcur1,Wattled Curassow
Crax fasciolata,bafcur1,Bare-faced Curassow
Crax blumenbachii,rebcur1,Red-billed Curassow
Numida meleagris,helgui,Helmeted Guineafowl
Agelastes meleagrides,whbgui1,White-breasted Guineafowl
Agelastes niger,blagui1,Black Guineafowl
Acryllium vulturinum,vulgui1,Vulturine Guineafowl
Guttera plumifera,plugui1,Plumed Guineafowl
Guttera pucherani,cregui3,Eastern Crested Guineafowl
Guttera verreauxi,cregui2,Western Crested Guineafowl
Guttera edouardi,cregui4,Southern Crested Guineafowl
Ptilopachus petrosus,stopar1,Stone Partridge
Ptilopachus nahani,nahfra2,Nahan's Partridge
Rhynchortyx cinctus,tafqua1,Tawny-faced Quail
Oreortyx pictus,mouqua,Mountain Quail
Dendrortyx leucophrys,bcwpar1,Buffy-crowned Wood-Partridge
Dendrortyx macroura,ltwpar1,Long-tailed Wood-Partridge
Dendrortyx barbatus,bewpar1,Bearded Wood-Partridge
Philortyx fasciatus,banqua1,Banded Quail
Colinus virginianus,norbob,Northern Bobwhite
Colinus nigrogularis,bltbob1,Black-throated Bobwhite
Colinus cristatus,crebob1,Crested Bobwhite
Callipepla squamata,scaqua,Scaled Quail
Callipepla douglasii,elequa,Elegant Quail
Callipepla californica,calqua,California Quail
Callipepla gambelii,gamqua,Gambel's Quail
Cyrtonyx montezumae,monqua,Montezuma Quail
Cyrtonyx ocellatus,ocequa1,Ocellated Quail
Dactylortyx thoracicus,sinqua1,Singing Quail
Odontophorus gujanensis,mawqua1,Marbled Wood-Quail
Odontophorus capueira,swwqua1,Spot-winged Wood-Quail
Odontophorus melanotis,bewqua1,Black-eared Wood-Quail
Odontophorus atrifrons,bfwqua1,Black-fronted Wood-Quail
Odontophorus erythrops,rfwqua1,Rufous-fronted Wood-Quail
Odontophorus hyperythrus,chwqua1,Chestnut Wood-Quail
Odontophorus melanonotus,dbwqua1,Dark-backed Wood-Quail
Odontophorus speciosus,rbwqua1,Rufous-breasted Wood-Quail
Odontophorus dialeucos,tawqua1,Tacarcuna Wood-Quail
Odontophorus strophium,gowqua1,Gorgeted Wood-Quail
Odontophorus columbianus,venwoq1,Venezuelan Wood-Quail
Odontophorus leucolaemus,bbwqua1,Black-breasted Wood-Quail
Odontophorus balliviani,sfwqua1,Stripe-faced Wood-Quail
Odontophorus stellatus,stwqua1,Starred Wood-Quail
Odontophorus guttatus,spwqua1,Spotted Wood-Quail
Xenoperdix udzungwensis,udzpar1,Udzungwa Partridge
Caloperdix oculeus,ferpar2,Ferruginous Partridge
Rollulus rouloul,crepar1,Crested Partridge
Melanoperdix niger,blapar2,Black Partridge
Arborophila torqueola,hilpar1,Hill Partridge
Arborophila rufipectus,sicpar1,Sichuan Partridge
Arborophila mandellii,chbpar2,Chestnut-breasted Partridge
Arborophila gingica,whnpar2,White-necklaced Partridge
Arborophila rufogularis,rutpar1,Rufous-throated Partridge
Arborophila rubrirostris,rebpar3,Red-billed Partridge
Arborophila cambodiana,chhpar1,Chestnut-headed Partridge
Arborophila ardens,haipar1,Hainan Partridge
Arborophila crudigularis,taipar1,Taiwan Partridge
Arborophila atrogularis,whcpar1,White-cheeked Partridge
Arborophila brunneopectus,babpar1,Bar-backed Partridge
Arborophila davidi,ornpar1,Orange-necked Partridge
Arborophila hyperythra,rebpar5,Red-breasted Partridge
Arborophila campbelli,gybpar3,Malayan Partridge
Arborophila rolli,gybpar5,Roll's Partridge
Arborophila sumatrana,gybpar6,Sumatran Partridge
Arborophila javanica,chbpar1,Chestnut-bellied Partridge
Arborophila orientalis,gybpar4,Gray-breasted Partridge
Lerwa lerwa,snopar1,Snow Partridge
Ithaginis cruentus,blophe1,Blood Pheasant
Tragopan melanocephalus,westra1,Western Tragopan
Tragopan satyra,sattra1,Satyr Tragopan
Tragopan blythii,blytra1,Blyth's Tragopan
Tragopan temminckii,temtra1,Temminck's Tragopan
Tragopan caboti,cabtra1,Cabot's Tragopan
Tetraophasis obscurus,verpar1,Verreaux's Partridge
Tetraophasis szechenyii,szepar1,Szechenyi's Partridge
Lophophorus impejanus,himmon1,Himalayan Monal
Lophophorus sclateri,sclmon1,Sclater's Monal
Lophophorus lhuysii,chimon1,Chinese Monal
Pucrasia macrolopha,kokphe1,Koklass Pheasant
Meleagris gallopavo,wiltur,Wild Turkey
Meleagris ocellata,ocetur1,Ocellated Turkey
Bonasa umbellus,rufgro,Ruffed Grouse
Tetrastes bonasia,hazgro1,Hazel Grouse
Tetrastes sewerzowi,sevgro1,Severtzov's Grouse
Centrocercus urophasianus,saggro,Greater Sage-Grouse
Centrocercus minimus,gusgro,Gunnison Sage-Grouse
Dendragapus obscurus,dusgro,Dusky Grouse
Dendragapus fuliginosus,soogro1,Sooty Grouse
Tympanuchus phasianellus,shtgro,Sharp-tailed Grouse
Tympanuchus cupido,grpchi,Greater Prairie-Chicken
Tympanuchus pallidicinctus,lepchi,Lesser Prairie-Chicken
Lagopus leucura,whtpta1,White-tailed Ptarmigan
Lagopus lagopus,wilpta,Willow Ptarmigan
Lagopus muta,rocpta1,Rock Ptarmigan
Falcipennis falcipennis,sibgro2,Siberian Grouse
Canachites canadensis,sprgro,Spruce Grouse
Tetrao urogalloides,blbcap1,Black-billed Capercaillie
Tetrao urogallus,wescap1,Western Capercaillie
Lyrurus tetrix,blagro1,Black Grouse
Lyrurus mlokosiewiczi,caugro1,Caucasian Grouse
Rhizothera longirostris,lobpar3,Long-billed Partridge
Rhizothera dulitensis,lobpar2,Dulit Partridge
Perdix hodgsoniae,tibpar1,Tibetan Partridge
Perdix perdix,grypar,Gray Partridge
Perdix dauurica,daupar1,Daurian Partridge
Syrmaticus soemmerringii,copphe1,Copper Pheasant
Syrmaticus reevesii,reephe1,Reeves's Pheasant
Syrmaticus mikado,mikphe1,Mikado Pheasant
Syrmaticus ellioti,ellphe1,Elliot's Pheasant
Syrmaticus humiae,humphe1,Hume's Pheasant
Chrysolophus pictus,golphe,Golden Pheasant
Chrysolophus amherstiae,laaphe1,Lady Amherst's Pheasant
Phasianus colchicus,rinphe1,Ring-necked Pheasant
Phasianus versicolor,rinphe2,Green Pheasant
Catreus wallichii,chephe1,Cheer Pheasant
Crossoptilon harmani,whieap2,Tibetan Eared-Pheasant
Crossoptilon crossoptilon,whieap1,White Eared-Pheasant
Crossoptilon mantchuricum,brephe1,Brown Eared-Pheasant
Crossoptilon auritum,blephe1,Blue Eared-Pheasant
Lophura edwardsi,edwphe1,Edwards's Pheasant
Lophura swinhoii,swiphe1,Swinhoe's Pheasant
Lophura bulweri,bulphe1,Bulwer's Pheasant
Lophura leucomelanos,kalphe,Kalij Pheasant
Lophura nycthemera,silphe,Silver Pheasant
Lophura erythrophthalma,crefir5,Malayan Crestless Fireback
Lophura pyronota,crefir6,Bornean Crestless Fireback
Lophura diardi,siafir1,Siamese Fireback
Lophura inornata,salphe1,Salvadori's Pheasant
Lophura rufa,crefir3,Malayan Crested Fireback
Lophura ignita,crefir4,Bornean Crested Fireback
Rheinardia ocellata,crearg1,Vietnamese Crested Argus
Rheinardia nigrescens,crearg3,Malayan Crested Argus
Argusianus argus,grearg1,Great Argus
Afropavo congensis,conpea1,Congo Peacock
Pavo cristatus,compea,Indian Peafowl
Pavo muticus,grepea1,Green Peafowl
Tropicoperdix chloropus,scbpar1,Scaly-breasted Partridge
Tropicoperdix charltonii,chnpar1,Chestnut-necklaced Partridge
Tropicoperdix graydoni,chnpar3,Sabah Partridge
Haematortyx sanguiniceps,crhpar1,Crimson-headed Partridge
Galloperdix spadicea,redspu1,Red Spurfowl
Galloperdix lunulata,paispu1,Painted Spurfowl
Galloperdix bicalcarata,ceyspu1,Sri Lanka Spurfowl
Polyplectron napoleonis,palpep1,Palawan Peacock-Pheasant
Polyplectron schleiermacheri,bopphe1,Bornean Peacock-Pheasant
Polyplectron malacense,mapphe1,Malayan Peacock-Pheasant
Polyplectron germaini,gepphe1,Germain's Peacock-Pheasant
Polyplectron katsumatae,grypep3,Hainan Peacock-Pheasant
Polyplectron bicalcaratum,grypep2,Gray Peacock-Pheasant
Polyplectron inopinatum,mopphe1,Mountain Peacock-Pheasant
Polyplectron chalcurum,btpphe1,Bronze-tailed Peacock-Pheasant
Bambusicola fytchii,mobpar1,Mountain Bamboo-Partridge
Bambusicola thoracicus,chbpar3,Chinese Bamboo-Partridge
Bambusicola sonorivox,taibap1,Taiwan Bamboo-Partridge
Gallus varius,grejun1,Green Junglefowl
Gallus gallus,redjun,Red Junglefowl
Gallus sonneratii,grejun2,Gray Junglefowl
Gallus lafayettii,ceyjun1,Sri Lanka Junglefowl
Peliperdix lathami,forfra2,Latham's Francolin
Ortygornis sephaena,crefra2,Crested Francolin
Ortygornis pondicerianus,gryfra,Gray Francolin
Ortygornis gularis,swafra1,Swamp Francolin
Francolinus pintadeanus,chifra1,Chinese Francolin
Francolinus francolinus,blkfra,Black Francolin
Francolinus pictus,paifra1,Painted Francolin
Campocolinus coqui,coqfra2,Coqui Francolin
Campocolinus albogularis,whtfra2,White-throated Francolin
Campocolinus schlegelii,schfra2,Schlegel's Francolin
Scleroptila streptophora,rinfra2,Ring-necked Francolin
Scleroptila levaillantii,rewfra2,Red-winged Francolin
Scleroptila finschi,finfra2,Finsch's Francolin
Scleroptila psilolaema,moofra2,Moorland Francolin
Scleroptila elgonensis,moofra3,Elgon Francolin
Scleroptila afra,gywfra1,Gray-winged Francolin
Scleroptila gutturalis,orrfra2,Orange River Francolin
Scleroptila shelleyi,shefra1,Shelley's Francolin
Scleroptila whytei,shefra3,Whyte's Francolin
Tetraogallus tibetanus,tibsno1,Tibetan Snowcock
Tetraogallus altaicus,altsno1,Altai Snowcock
Tetraogallus caucasicus,causno1,Caucasian Snowcock
Tetraogallus caspius,cassno1,Caspian Snowcock
Tetraogallus himalayensis,himsno,Himalayan Snowcock
Ammoperdix griseogularis,sespar1,See-see Partridge
Ammoperdix heyi,sanpar1,Sand Partridge
Synoicus ypsilophorus,broqua1,Brown Quail
Synoicus monorthonyx,snmqua2,Snow Mountain Quail
Synoicus chinensis,blbqua1,Blue-breasted Quail
Synoicus adansonii,bluqua1,Blue Quail
Margaroperdix madagarensis,madpar2,Madagascar Partridge
Coturnix coturnix,comqua1,Common Quail
Coturnix japonica,japqua,Japanese Quail
Coturnix delegorguei,harqua1,Harlequin Quail
Coturnix coromandelica,raiqua1,Rain Quail
Coturnix pectoralis,stuqua1,Stubble Quail
Coturnix novaezelandiae,nezqua1,New Zealand Quail
Alectoris barbara,barpar2,Barbary Partridge
Alectoris melanocephala,arapar1,Arabian Partridge
Alectoris rufa,relpar1,Red-legged Partridge
Alectoris chukar,chukar,Chukar
Alectoris graeca,rocpar2,Rock Partridge
Alectoris philbyi,phipar1,Philby's Partridge
Alectoris magna,przpar1,Przevalski's Partridge
Perdicula asiatica,jubqua1,Jungle Bush-Quail
Perdicula argoondah,robqua1,Rock Bush-Quail
Perdicula erythrorhyncha,pabqua1,Painted Bush-Quail
Perdicula manipurensis,mabqua1,Manipur Bush-Quail
Ophrysia superciliosa,himqua1,Himalayan Quail
Pternistis hartlaubi,harfra3,Hartlaub's Spurfowl
Pternistis camerunensis,camfra2,Mount Cameroon Spurfowl
Pternistis nobilis,hanfra2,Handsome Spurfowl
Pternistis castaneicollis,chnfra2,Chestnut-naped Spurfowl
Pternistis erckelii,ercfra,Erckel's Spurfowl
Pternistis ochropectus,djifra1,Djibouti Spurfowl
Pternistis swierstrai,swifra2,Swierstra's Spurfowl
Pternistis ahantensis,ahafra2,Ahanta Spurfowl
Pternistis griseostriatus,gysfra1,Gray-striped Spurfowl
Pternistis jacksoni,jacfra2,Jackson's Spurfowl
Pternistis adspersus,rebfra1,Red-billed Spurfowl
Pternistis capensis,capfra2,Cape Spurfowl
Pternistis natalensis,natfra2,Natal Spurfowl
Pternistis hildebrandti,hilfra2,Hildebrandt's Spurfowl
Pternistis bicalcaratus,dosfra2,Double-spurred Spurfowl
Pternistis squamatus,scafra2,Scaly Spurfowl
Pternistis icterorhynchus,heufra1,Heuglin's Spurfowl
Pternistis clappertoni,clafra1,Clapperton's Spurfowl
Pternistis harwoodi,harfra4,Harwood's Spurfowl
Pternistis swainsonii,swafra2,Swainson's Spurfowl
Pternistis leucoscepus,yenspu1,Yellow-necked Spurfowl
Pternistis rufopictus,gybfra1,Gray-breasted Spurfowl
Pternistis afer,renfra1,Red-necked Spurfowl
Phoenicopterus chilensis,chifla1,Chilean Flamingo
Phoenicopterus ruber,grefla2,American Flamingo
Phoenicopterus roseus,grefla3,Greater Flamingo
Phoeniconaias minor,lesfla1,Lesser Flamingo
Phoenicoparrus andinus,andfla2,Andean Flamingo
Phoenicoparrus jamesi,jamfla1,James's Flamingo
Rollandia rolland,whtgre3,White-tufted Grebe
Rollandia microptera,titgre1,Titicaca Grebe
Tachybaptus rufolavatus,alagre1,Alaotra Grebe
Tachybaptus ruficollis,litgre1,Little Grebe
Tachybaptus novaehollandiae,ausgre1,Australasian Grebe
Tachybaptus pelzelnii,madgre1,Madagascar Grebe
Tachybaptus dominicus,leagre,Least Grebe
Podilymbus podiceps,pibgre,Pied-billed Grebe
Podilymbus gigas,atigre1,Atitlan Grebe
Poliocephalus poliocephalus,hohgre1,Hoary-headed Grebe
Poliocephalus rufopectus,nezgre1,New Zealand Grebe
Podiceps major,gregre1,Great Grebe
Podiceps auritus,horgre,Horned Grebe
Podiceps grisegena,rengre,Red-necked Grebe
Podiceps cristatus,grcgre1,Great Crested Grebe
Podiceps nigricollis,eargre,Eared Grebe
Podiceps andinus,colgre1,Colombian Grebe
Podiceps occipitalis,silgre1,Silvery Grebe
Podiceps taczanowskii,jungre1,Junin Grebe
Podiceps gallardoi,hoogre1,Hooded Grebe
Aechmophorus occidentalis,wesgre,Western Grebe
Aechmophorus clarkii,clagre,Clark's Grebe
Columba livia,rocpig,Rock Pigeon
Columba rupestris,hilpig1,Hill Pigeon
Columba leuconota,snopig1,Snow Pigeon
Columba guinea,spepig1,Speckled Pigeon
Columba albitorques,whcpig1,White-collared Pigeon
Columba oenas,stodov1,Stock Dove
Columba eversmanni,pabpig1,Yellow-eyed Pigeon
Columba oliviae,sompig1,Somali Pigeon
Columba palumbus,cowpig1,Common Wood-Pigeon
Columba trocaz,tropig1,Trocaz Pigeon
Columba bollii,bolpig1,Bolle's Pigeon
Columba unicincta,afepig1,Afep Pigeon
Columba junoniae,laupig1,Laurel Pigeon
Columba arquatrix,rampig1,Rameron Pigeon
Columba sjostedti,campig1,Cameroon Pigeon
Columba thomensis,marpig1,Maroon Pigeon
Columba delegorguei,delpig1,Delegorgue's Pigeon
Columba iriditorques,brnpig1,Bronze-naped Pigeon
Columba malherbii,satpig1,Sao Tome Pigeon
Columba thiriouxi,mauwop1,Mauritius Wood-Pigeon
Columba pollenii,compig1,Comoro Pigeon
Columba hodgsonii,spwpig1,Speckled Wood-Pigeon
Columba albinucha,whnpig1,White-naped Pigeon
Columba pulchricollis,aswpig1,Ashy Wood-Pigeon
Columba elphinstonii,niwpig1,Nilgiri Wood-Pigeon
Columba torringtoniae,ceywop1,Sri Lanka Wood-Pigeon
Columba punicea,pacpig1,Pale-capped Pigeon
Columba argentina,siwpig1,Silvery Wood-Pigeon
Columba palumboides,anwpig1,Andaman Wood-Pigeon
Columba janthina,jawpig1,Japanese Wood-Pigeon
Columba jouyi,ryupig1,Ryukyu Pigeon
Columba versicolor,bonpig1,Bonin Pigeon
Columba vitiensis,metpig1,Metallic Pigeon
Columba leucomela,whhpig1,White-headed Pigeon
Columba pallidiceps,yelpig1,Yellow-legged Pigeon
Aplopelia larvata,lemdov2,Lemon Dove
Patagioenas cayennensis,pavpig2,Pale-vented Pigeon
Patagioenas speciosa,scapig2,Scaled Pigeon
Patagioenas squamosa,scnpig1,Scaly-naped Pigeon
Patagioenas picazuro,picpig2,Picazuro Pigeon
Patagioenas corensis,baepig2,Bare-eyed Pigeon
Patagioenas maculosa,spwpig3,Spot-winged Pigeon
Patagioenas leucocephala,whcpig2,White-crowned Pigeon
Patagioenas flavirostris,rebpig1,Red-billed Pigeon
Patagioenas inornata,plapig,Plain Pigeon
Patagioenas fasciata,batpig1,Band-tailed Pigeon
Patagioenas araucana,chipig2,Chilean Pigeon
Patagioenas caribaea,ritpig,Ring-tailed Pigeon
Patagioenas oenops,perpig2,Peruvian Pigeon
Patagioenas plumbea,plupig2,Plumbeous Pigeon
Patagioenas subvinacea,rudpig,Ruddy Pigeon
Patagioenas nigrirostris,shbpig,Short-billed Pigeon
Patagioenas goodsoni,duspig2,Dusky Pigeon
Ectopistes migratorius,paspig,Passenger Pigeon
Nesoenas picturatus,matdov1,Malagasy Turtle-Dove
Nesoenas mayeri,pinpig2,Pink Pigeon
Nesoenas cicur,mautud1,Mauritius Turtle-Dove
Nesoenas rodericanus,rodtud1,Rodrigues Turtle-Dove
Streptopelia turtur,eutdov,European Turtle-Dove
Streptopelia lugens,dutdov1,Dusky Turtle-Dove
Streptopelia hypopyrrha,adtdov1,Adamawa Turtle-Dove
Streptopelia orientalis,ortdov,Oriental Turtle-Dove
Streptopelia bitorquata,iscdov1,Sunda Collared-Dove
Streptopelia dusumieri,phicod1,Philippine Collared-Dove
Streptopelia decaocto,eucdov,Eurasian Collared-Dove
Streptopelia xanthocycla,eurcod2,Burmese Collared-Dove
Streptopelia roseogrisea,afcdov1,African Collared-Dove
Streptopelia reichenowi,wwcdov1,White-winged Collared-Dove
Streptopelia decipiens,afmdov1,Mourning Collared-Dove
Streptopelia semitorquata,reedov1,Red-eyed Dove
Streptopelia capicola,rindov,Ring-necked Dove
Streptopelia vinacea,vindov1,Vinaceous Dove
Streptopelia tranquebarica,recdov1,Red Collared-Dove
Spilopelia chinensis,spodov,Spotted Dove
Spilopelia senegalensis,laudov1,Laughing Dove
Macropygia unchall,bacdov1,Barred Cuckoo-Dove
Macropygia phasianella,brcdov1,Brown Cuckoo-Dove
Macropygia macassariensis,ducdov1,Flores Sea Cuckoo-Dove
Macropygia magna,timcud1,Timor Cuckoo-Dove
Macropygia timorlaoensis,tancud1,Tanimbar Cuckoo-Dove
Macropygia amboinensis,sbcdov1,Amboyna Cuckoo-Dove
Macropygia doreya,sulcud1,Sultan's Cuckoo-Dove
Macropygia rufipennis,ancdov1,Andaman Cuckoo-Dove
Macropygia tenuirostris,phcdov1,Philippine Cuckoo-Dove
Macropygia emiliana,rucdov1,Ruddy Cuckoo-Dove
Macropygia cinnamomea,engcud1,Enggano Cuckoo-Dove
Macropygia modiglianii,barcud1,Barusan Cuckoo-Dove
Macropygia nigrirostris,bbcdov1,Black-billed Cuckoo-Dove
Macropygia mackinlayi,macdov1,Mackinlay's Cuckoo-Dove
Macropygia ruficeps,licdov1,Little Cuckoo-Dove
Reinwardtoena reinwardti,grcdov2,Great Cuckoo-Dove
Reinwardtoena browni,picdov1,Pied Cuckoo-Dove
Reinwardtoena crassirostris,crcdov1,Crested Cuckoo-Dove
Turacoena manadensis,wfcdov1,White-faced Cuckoo-Dove
Turacoena sulaensis,sulcud2,Sula Cuckoo-Dove
Turacoena modesta,slacud1,Slaty Cuckoo-Dove
Turtur chalcospilos,eswdov1,Emerald-spotted Wood-Dove
Turtur abyssinicus,bbwdov1,Black-billed Wood-Dove
Turtur afer,bswdov1,Blue-spotted Wood-Dove
Turtur tympanistria,tamdov1,Tambourine Dove
Turtur brehmeri,bhwdov1,Blue-headed Wood-Dove
Oena capensis,namdov1,Namaqua Dove
Chalcophaps indica,emedov2,Asian Emerald Dove
Chalcophaps longirostris,emedov3,Pacific Emerald Dove
Chalcophaps stephani,stedov1,Stephan's Dove
Henicophaps albifrons,negbro1,New Guinea Bronzewing
Henicophaps foersteri,nebbro1,New Britain Bronzewing
Alopecoenas hoedtii,wegdov1,Wetar Ground Dove
Alopecoenas stairi,frgdov1,Shy Ground Dove
Alopecoenas sanctaecrucis,scgdov1,Santa Cruz Ground Dove
Alopecoenas salamonis,tbgdov1,Thick-billed Ground Dove
Alopecoenas ferrugineus,tangrd1,Tanna Ground Dove
Alopecoenas beccarii,brgdov1,Bronze Ground Dove
Alopecoenas canifrons,pagdov1,Palau Ground Dove
Alopecoenas jobiensis,wbgdov1,White-bibbed Ground Dove
Alopecoenas rubescens,margrd1,Marquesas Ground Dove
Alopecoenas kubaryi,cigdov1,Caroline Islands Ground Dove
Alopecoenas erythropterus,pogdov1,Polynesian Ground Dove
Alopecoenas xanthonurus,wtgdov1,White-throated Ground Dove
Alopecoenas norfolkensis,norgrd1,Norfolk Ground Dove
Phaps chalcoptera,combro1,Common Bronzewing
Phaps elegans,brubro1,Brush Bronzewing
Phaps histrionica,flobro1,Flock Bronzewing
Ocyphaps lophotes,crepig1,Crested Pigeon
Geophaps plumifera,spipig2,Spinifex Pigeon
